indiv	collection	repunit	inferred_collection	repu_scaled_like
285	2	NA	2	1
286	2	NA	2	1
287	2	NA	2	1
288	2	NA	3	0.978836496112254
289	2	NA	2	1
29	1	NA	1	1
290	2	NA	2	1
291	2	NA	2	1
292	2	NA	2	1
293	2	NA	2	1
294	2	NA	2	1
295	2	NA	2	1
296	2	NA	2	1
297	2	NA	2	1
298	2	NA	2	1
299	2	NA	2	1
3	1	NA	1	1
30	1	NA	1	1
300	2	NA	2	1
301	2	NA	2	1
302	2	NA	2	1
303	2	NA	2	1
304	2	NA	2	1
305	2	NA	2	1
306	2	NA	2	1
307	2	NA	2	1
308	2	NA	2	1
309	2	NA	2	1
31	1	NA	1	1
310	2	NA	2	1
311	2	NA	2	1
312	2	NA	2	1
313	2	NA	2	1
314	2	NA	2	1
315	2	NA	2	1
316	2	NA	2	1
317	2	NA	2	1
318	2	NA	2	1
319	2	NA	2	1
32	1	NA	1	1
320	2	NA	2	1
321	2	NA	2	1
322	2	NA	2	1
323	2	NA	2	1
324	2	NA	2	1
325	2	NA	2	1
326	2	NA	2	1
327	2	NA	2	1
328	2	NA	2	1
329	2	NA	2	1
33	1	NA	1	1
330	2	NA	3	1
331	2	NA	2	1
332	2	NA	2	1
333	2	NA	2	1
334	2	NA	2	1
335	2	NA	2	1
336	2	NA	2	1
337	2	NA	2	1
338	2	NA	2	1
339	2	NA	2	1
34	1	NA	1	1
340	2	NA	2	1
341	2	NA	1	0.999999999998446
342	2	NA	2	1
343	2	NA	2	1
344	2	NA	2	1
345	2	NA	2	1
346	2	NA	2	1
347	2	NA	2	1
348	2	NA	2	1
349	2	NA	2	1
35	1	NA	1	1
350	2	NA	2	1
351	2	NA	2	1
352	2	NA	2	1
353	2	NA	2	1
354	2	NA	2	1
355	2	NA	2	1
356	2	NA	2	1
357	2	NA	2	1
358	2	NA	2	1
359	2	NA	2	1
36	1	NA	1	1
360	2	NA	2	1
361	2	NA	2	1
362	2	NA	2	1
363	2	NA	2	1
364	2	NA	2	1
365	2	NA	2	1
366	2	NA	2	1
367	2	NA	2	1
368	2	NA	2	1
369	2	NA	2	1
37	1	NA	1	1
370	2	NA	2	1
371	2	NA	2	1
372	2	NA	2	1
373	2	NA	2	1
374	2	NA	2	1
375	2	NA	2	1
376	2	NA	2	1
377	2	NA	2	1
378	2	NA	2	1
379	2	NA	2	1
38	1	NA	1	1
380	2	NA	4	0.999999999999389
381	2	NA	2	1
382	2	NA	2	1
383	2	NA	2	1
384	2	NA	2	1
385	2	NA	2	1
386	2	NA	2	1
387	2	NA	2	1
388	2	NA	2	1
389	2	NA	2	1
39	1	NA	1	1
390	2	NA	2	1
391	2	NA	2	1
392	2	NA	2	1
393	2	NA	2	1
394	2	NA	2	1
395	2	NA	2	1
396	2	NA	2	1
397	2	NA	2	1
398	2	NA	2	0.999999999999998
399	2	NA	2	1
4	1	NA	1	1
40	1	NA	1	1
400	2	NA	2	1
401	2	NA	2	1
402	2	NA	2	1
403	2	NA	2	1
404	2	NA	2	1
405	2	NA	2	1
406	2	NA	2	1
407	2	NA	2	1
408	2	NA	2	1
409	2	NA	2	1
41	1	NA	1	1
410	2	NA	2	1
411	2	NA	2	1
412	2	NA	2	1
413	2	NA	2	1
414	2	NA	2	1
415	2	NA	2	1
416	2	NA	2	1
417	2	NA	2	1
418	2	NA	2	1
419	2	NA	2	1
42	1	NA	1	1
420	2	NA	2	1
421	2	NA	2	1
422	2	NA	2	1
423	2	NA	2	1
424	2	NA	2	1
425	2	NA	2	1
426	2	NA	2	1
427	2	NA	2	1
428	2	NA	2	1
429	2	NA	2	1
43	1	NA	1	0.999999999999973
430	2	NA	2	1
431	2	NA	2	1
432	2	NA	2	1
433	2	NA	2	1
434	2	NA	2	1
435	2	NA	2	0.999953838425423
436	2	NA	2	1
437	2	NA	1	0.999998132212896
438	2	NA	2	1
439	3	NA	3	1
44	1	NA	1	1
440	3	NA	3	1
441	3	NA	3	1
442	3	NA	3	1
443	3	NA	3	1
444	3	NA	3	1
445	3	NA	3	1
446	3	NA	3	1
447	3	NA	3	1
448	3	NA	3	1
449	3	NA	3	1
45	1	NA	1	1
450	3	NA	3	1
451	3	NA	3	1
452	3	NA	3	1
453	3	NA	3	1
454	3	NA	3	1
455	3	NA	3	1
456	3	NA	1	1
457	3	NA	3	1
458	3	NA	3	1
459	3	NA	3	1
46	1	NA	1	1
460	3	NA	3	1
461	3	NA	3	1
462	3	NA	3	1
463	3	NA	3	1
464	3	NA	3	1
465	3	NA	3	1
466	3	NA	3	1
467	3	NA	3	1
468	3	NA	3	1
469	3	NA	3	1
47	1	NA	1	1
470	3	NA	3	1
471	3	NA	3	1
472	3	NA	3	1
473	3	NA	3	1
474	3	NA	3	1
475	3	NA	3	1
476	3	NA	3	1
477	3	NA	3	1
478	3	NA	3	1
479	3	NA	3	0.999999999999984
48	1	NA	1	1
480	3	NA	3	1
481	3	NA	3	1
482	3	NA	3	1
483	3	NA	3	1
484	3	NA	3	1
485	3	NA	3	1
486	3	NA	3	1
487	3	NA	3	1
488	3	NA	3	1
489	3	NA	3	1
49	1	NA	1	1
490	3	NA	3	1
491	3	NA	3	1
492	3	NA	3	1
493	3	NA	3	1
494	3	NA	3	1
495	3	NA	3	1
496	3	NA	3	1
497	3	NA	3	1
498	3	NA	3	1
499	3	NA	3	1
5	1	NA	1	1
50	1	NA	1	1
500	3	NA	3	1
501	3	NA	3	1
502	3	NA	3	1
503	3	NA	3	1
504	3	NA	3	1
505	3	NA	3	1
506	3	NA	3	1
507	3	NA	3	1
508	3	NA	3	1
509	3	NA	3	1
51	1	NA	1	1
510	3	NA	3	1
511	3	NA	3	1
512	3	NA	3	1
513	3	NA	3	1
514	3	NA	3	1
515	3	NA	3	1
516	3	NA	3	1
517	3	NA	3	1
518	3	NA	3	1
519	3	NA	3	1
52	1	NA	1	1
520	3	NA	3	1
521	3	NA	3	1
522	3	NA	3	1
523	3	NA	3	1
524	3	NA	3	1
525	3	NA	3	1
526	3	NA	3	1
527	3	NA	3	1
528	3	NA	3	1
529	3	NA	3	1
53	1	NA	1	1
530	3	NA	3	1
531	3	NA	3	1
532	3	NA	3	1
533	3	NA	3	1
534	3	NA	3	1
535	3	NA	3	1
536	3	NA	3	1
537	3	NA	4	1
538	3	NA	3	1
539	3	NA	3	1
54	1	NA	1	1
540	3	NA	3	1
541	3	NA	3	1
542	3	NA	1	1
543	3	NA	3	1
544	3	NA	2	0.999999716301837
545	3	NA	3	1
546	3	NA	3	1
547	3	NA	3	1
548	3	NA	3	1
549	3	NA	3	1
55	1	NA	1	1
550	3	NA	3	1
551	3	NA	3	1
552	3	NA	2	1
553	3	NA	2	0.999998369692118
554	3	NA	3	1
555	3	NA	3	1
556	3	NA	3	1
557	3	NA	3	1
558	3	NA	3	0.9999999999998
559	3	NA	3	1
56	1	NA	1	1
560	3	NA	3	1
561	3	NA	3	1
562	3	NA	3	1
563	3	NA	3	1
564	3	NA	3	1
565	3	NA	3	1
566	3	NA	3	1
567	3	NA	3	1
568	3	NA	3	1
569	3	NA	3	1
57	1	NA	1	1
570	3	NA	3	1
571	3	NA	3	1
572	3	NA	3	1
573	3	NA	3	1
574	3	NA	3	1
575	3	NA	3	1
576	3	NA	3	1
577	3	NA	3	1
578	3	NA	3	1
579	3	NA	3	1
58	1	NA	1	1
580	3	NA	3	1
581	3	NA	3	1
582	3	NA	3	1
583	3	NA	3	1
584	3	NA	3	1
585	3	NA	3	1
586	3	NA	3	1
587	3	NA	3	1
588	3	NA	3	1
589	3	NA	3	1
59	1	NA	1	1
590	3	NA	3	1
591	3	NA	3	1
592	3	NA	3	1
593	3	NA	3	1
594	3	NA	3	1
595	3	NA	3	1
596	3	NA	3	1
597	3	NA	3	1
598	3	NA	3	1
599	3	NA	4	1
6	1	NA	3	0.999999710237172
60	1	NA	1	1
600	3	NA	3	1
601	3	NA	3	1
602	3	NA	3	1
603	3	NA	3	1
604	3	NA	3	1
605	3	NA	3	1
606	3	NA	3	1
607	3	NA	3	1
608	3	NA	3	1
609	3	NA	3	1
61	1	NA	1	1
610	3	NA	3	1
611	3	NA	3	1
612	3	NA	3	1
613	3	NA	3	1
614	3	NA	3	1
615	3	NA	3	1
616	3	NA	3	1
617	3	NA	3	1
618	3	NA	3	1
619	3	NA	2	0.8352258788637
62	1	NA	1	1
620	3	NA	3	1
621	3	NA	3	1
622	3	NA	3	1
623	3	NA	3	1
624	3	NA	3	1
625	3	NA	3	1
626	3	NA	3	1
627	3	NA	3	1
628	3	NA	2	1
629	3	NA	3	1
63	1	NA	1	1
630	3	NA	3	1
631	3	NA	3	1
632	3	NA	3	1
633	3	NA	3	1
634	3	NA	3	1
635	3	NA	3	1
636	3	NA	3	1
637	3	NA	3	1
638	3	NA	3	1
639	3	NA	1	0.999999999956982
64	1	NA	1	0.99999999999831
640	3	NA	3	1
641	3	NA	3	1
642	3	NA	3	1
643	3	NA	3	1
644	3	NA	3	1
645	3	NA	3	1
646	3	NA	3	1
647	3	NA	3	1
648	3	NA	3	1
649	3	NA	3	1
65	1	NA	1	1
650	3	NA	3	1
651	3	NA	3	1
652	3	NA	3	1
653	3	NA	3	1
654	3	NA	3	1
655	3	NA	3	1
656	3	NA	3	1
657	3	NA	2	0.973838609291185
658	3	NA	3	1
659	3	NA	2	1
66	1	NA	1	1
660	3	NA	3	1
661	3	NA	3	1
662	3	NA	3	1
663	3	NA	3	1
664	3	NA	3	1
665	3	NA	3	1
666	3	NA	3	1
667	3	NA	3	1
668	3	NA	3	1
669	3	NA	3	1
67	1	NA	1	1
670	3	NA	3	1
671	3	NA	3	1
672	3	NA	3	1
673	3	NA	3	1
674	3	NA	3	1
675	3	NA	3	1
676	3	NA	3	1
677	3	NA	3	1
678	3	NA	3	1
679	3	NA	3	1
68	1	NA	1	1
680	3	NA	3	1
681	3	NA	3	1
682	3	NA	3	1
683	3	NA	3	1
684	3	NA	3	1
685	3	NA	3	1
686	3	NA	3	1
687	3	NA	3	1
688	3	NA	3	1
689	4	NA	4	1
69	1	NA	1	1
690	4	NA	4	1
691	4	NA	4	1
692	4	NA	4	1
693	4	NA	4	1
694	4	NA	4	1
695	4	NA	1	1
696	4	NA	4	1
697	4	NA	4	1
698	4	NA	4	1
699	4	NA	4	1
7	1	NA	1	1
70	1	NA	1	1
700	4	NA	4	1
701	4	NA	4	1
702	4	NA	4	1
703	4	NA	4	1
704	4	NA	4	1
705	4	NA	3	1
706	4	NA	4	1
707	4	NA	4	1
708	4	NA	4	1
709	4	NA	4	1
71	1	NA	1	1
710	4	NA	4	1
711	4	NA	4	1
712	4	NA	4	1
713	4	NA	4	1
714	4	NA	4	1
715	4	NA	4	1
716	4	NA	4	1
717	4	NA	4	1
718	4	NA	4	1
719	4	NA	4	1
72	1	NA	1	1
720	4	NA	4	1
721	4	NA	4	1
722	4	NA	4	1
723	4	NA	4	1
724	4	NA	4	1
725	4	NA	4	1
726	4	NA	4	1
727	4	NA	4	1
728	4	NA	4	1
729	4	NA	4	1
73	1	NA	1	1
730	4	NA	4	1
731	4	NA	4	1
732	4	NA	4	1
733	4	NA	4	1
734	4	NA	4	1
735	4	NA	4	0.999999996993468
736	4	NA	4	1
737	4	NA	4	1
738	4	NA	3	1
739	4	NA	4	1
74	1	NA	1	1
740	4	NA	4	1
741	4	NA	4	1
742	4	NA	4	1
743	4	NA	4	1
744	4	NA	4	1
745	4	NA	4	1
746	4	NA	4	1
747	4	NA	4	1
748	4	NA	4	1
749	4	NA	4	1
75	1	NA	1	1
750	4	NA	4	1
751	4	NA	4	1
752	4	NA	4	1
753	4	NA	4	1
754	4	NA	4	1
755	4	NA	4	1
756	4	NA	4	1
757	4	NA	4	1
758	4	NA	4	1
759	4	NA	4	1
76	1	NA	1	1
760	4	NA	4	1
761	4	NA	4	1
762	4	NA	4	1
763	4	NA	4	1
764	4	NA	4	1
765	4	NA	4	1
766	4	NA	4	1
767	4	NA	4	1
768	4	NA	4	1
769	4	NA	4	1
77	1	NA	1	1
770	4	NA	4	1
771	4	NA	4	1
772	4	NA	4	1
773	4	NA	4	1
774	4	NA	4	1
775	4	NA	4	1
776	4	NA	4	0.999999999999821
777	4	NA	4	1
778	4	NA	4	1
779	4	NA	4	1
78	1	NA	1	1
780	4	NA	4	1
781	4	NA	4	1
782	4	NA	4	1
783	4	NA	4	1
784	4	NA	4	1
785	4	NA	4	1
786	4	NA	4	1
787	4	NA	4	1
788	4	NA	4	1
789	4	NA	4	1
79	1	NA	3	1
790	4	NA	4	1
791	4	NA	4	1
792	4	NA	4	1
793	4	NA	4	1
794	4	NA	4	1
795	4	NA	4	1
796	4	NA	4	1
797	4	NA	4	1
798	4	NA	4	1
799	4	NA	4	1
8	1	NA	2	1
80	1	NA	1	1
800	4	NA	4	1
801	4	NA	4	1
802	4	NA	4	1
803	4	NA	4	1
804	4	NA	4	1
805	4	NA	4	1
806	4	NA	4	1
807	4	NA	4	1
808	4	NA	3	0.999820511912261
809	4	NA	4	1
81	1	NA	1	1
810	4	NA	4	1
811	4	NA	4	1
812	4	NA	2	1
813	4	NA	4	1
814	4	NA	4	1
815	4	NA	4	1
816	4	NA	4	1
817	4	NA	4	1
818	4	NA	4	1
819	4	NA	4	1
82	1	NA	1	1
820	4	NA	4	1
821	4	NA	4	1
822	4	NA	4	1
823	4	NA	4	1
824	4	NA	2	1
825	4	NA	4	1
826	4	NA	3	1
827	4	NA	4	1
828	4	NA	4	1
829	4	NA	4	1
83	1	NA	1	1
830	4	NA	4	1
831	4	NA	4	1
832	4	NA	4	1
833	4	NA	4	1
834	4	NA	4	1
835	4	NA	4	1
836	4	NA	4	1
837	4	NA	4	1
838	4	NA	4	1
839	4	NA	4	1
84	1	NA	1	1
840	4	NA	4	1
841	4	NA	4	1
842	4	NA	4	1
843	4	NA	4	1
844	4	NA	4	1
845	4	NA	4	1
846	4	NA	4	1
847	4	NA	1	1
848	4	NA	4	1
849	4	NA	4	1
85	1	NA	4	1
850	4	NA	4	1
851	4	NA	4	1
852	4	NA	4	1
853	4	NA	4	1
854	4	NA	4	1
855	4	NA	4	1
856	4	NA	4	1
857	4	NA	4	1
858	4	NA	4	1
859	4	NA	4	1
86	1	NA	1	0.999999995737808
860	4	NA	4	1
861	4	NA	4	1
862	4	NA	4	1
863	4	NA	4	1
864	4	NA	4	1
865	4	NA	4	1
866	4	NA	4	1
867	4	NA	4	1
868	4	NA	4	1
869	4	NA	4	1
87	1	NA	1	1
870	4	NA	4	1
88	1	NA	1	1
89	1	NA	2	1
9	1	NA	1	1
90	1	NA	1	1
91	1	NA	1	1
92	1	NA	1	1
93	1	NA	1	1
94	1	NA	1	1
95	1	NA	3	0.999998850907368
96	1	NA	1	1
97	1	NA	1	1
98	1	NA	1	1
99	1	NA	1	1
